precision,base,choose,overlap,species pool,filters
0.01,0.39333206845263424,0.38710412259579097,0.39093636942420457,0.3336182571537173,0.37853324490877704
0.02,0.4673995894483234,0.4639428952227073,0.46695005778844473,0.41711488611709047,0.4536902331143115
0.03,0.5341370331968012,0.5332226395935269,0.5358571861859891,0.4930343161253744,0.5221031497332524
0.04,0.5939711423169445,0.5953848434649706,0.5980507081193311,0.5617872367953339,0.5841310649102576
0.05,0.6473140675784403,0.6508557765322033,0.6539109455862274,0.623771369370984,0.6401220791806073
0.06,0.6945635926770558,0.70004672818459,0.7038057674953166,0.679371646444589,0.6904134651195455
0.07,0.7361033590099076,0.7433542452614537,0.7480907680817387,0.72896039167766,0.7353318089916246
0.08,0.7723030904507326,0.7811603698078304,0.7871094453227544,0.7728974995219536,0.7751931524000477
0.09,0.8035188181251582,0.8138328768302278,0.8211933793533649,0.8115306149404691,0.8103031339360125
0.1,0.8300931051859722,0.841725512052382,0.8506624108819311,0.8451953131284481,0.8409571308280548
0.11,0.8523552715883927,0.8651782296710139,0.8758248196057926,0.8742152792343721,0.8674404005913903
0.12,0.87062161886534,0.8845174301115863,0.8969775026268878,0.8989024880809608,0.8900282226772604
0.13,0.8851956549027031,0.9000561977840605,0.9144061528673717,0.9195573838861697,0.908986040122273
0.14,0.8963683187146139,0.9120945388386534,0.9283854374852372,0.9364690599841896,0.9245696011977469
0.15,0.9044182052187144,0.9209196189215954,0.9391791762899335,0.9499154385464437,0.9370251010590546
0.16,0.9096117900114286,0.9268060009308846,0.9470405201579848,0.960163450302586,0.946589323394966
0.17,0.9122036541432329,0.9300158827720483,0.9522121294486118,0.967469214261501,0.9534897820769929
0.18,0.9124367088939234,0.9307993351138942,0.9549263524193482,0.972078217432299,0.9579448628087285
0.19,0.91054242054789,0.9293945391442731,0.9554054036416625,0.974225494545318,0.9601639647751955
0.2,0.906741035169383,0.9260280243258301,0.9538615424165753,0.9741358077731174,0.9603476422921842
0.21,0.9012418033777853,0.9209149061517659,0.9504972511902801,0.9720238264514803,0.9586877464556
0.22,0.894243205122883,0.914259123901592,0.945505413969763,0.9680943068004105,0.9553675667908061
0.23,0.8859331744601341,0.9062536783968885,0.939069494738421,0.9625422716451305,0.9505619729019642
0.24,0.8764893243259395,0.8970808697570594,0.9313637158716813,0.9555531901370786,0.9444375561213804
0.25,0.8660791713129118,0.8869125351550899,0.9225532365526209,0.9473031574749088,0.9371527711588464
0.26,0.8548603604451485,0.8759102865733055,0.9127943311875866,0.9379590746254887,0.9288580777509846
0.27,0.8429808899534981,0.864225748559126,0.902234567821814,0.9276788280448965,0.9196960823105907
0.28,0.8305793360508339,0.8520007959808243,0.8910129865550462,0.916611469399422,0.9098016795759764
0.29,0.8177850777073217,0.8393677917832818,0.8792602779571539,0.9048973952865607,0.8993021942603128
0.3,0.8047185214256911,0.8264498247437468,0.8670989614837538,0.8926685269560155,0.8883175227009744
0.31,0.7914913260165056,0.8133609472275908,0.8546435638918298,0.880048490030694,0.8769602745088818
0.32,0.7782066273734325,0.8002064129440654,0.8420007976553511,0.8671527942277061,0.8653359142178457
0.33,0.7649592632485128,0.7870829147020592,0.8292697393808911,0.8540890130793627,0.853542902933908
0.34,0.7518359980274321,0.7740788221658541,0.8165420082232475,0.8409569636541738,0.8416728399846882
0.35000000000000003,0.7389157475047902,0.7612744196108842,0.8039019443010614,0.8278488862778466,0.8298106045687244
0.36,0.7262698036593712,0.7487421436794895,0.7914267871124377,0.8148496242542839,0.8180344974048166
0.37,0.7139620594294142,0.7365468211366768,0.7791868539505628,0.8020368035865829,0.8064163823813723
0.38,0.702049233487882,0.7247459066258723,0.7672457183193234,0.7894810126980317,0.7950218282057457
0.39,0.6905810950177337,0.7133897204246821,0.7556603883489295,0.7772459821531095,0.7839102500535855
0.4,0.6796006884871929,0.7025216862006474,0.7444814852115302,0.765388764378484,0.7731350512181746
0.41000000000000003,0.6691445584250187,0.6921785687670012,0.7337534215368339,0.7539599133840096,0.7627437647597758
0.42,0.6592429741957752,0.6823907118384266,0.7235145798277289,0.7430036644837252,0.752778195154973
0.43,0.6499201547751022,0.6731822757868121,0.7137974908759012,0.7325581140168534,0.743274559946016
0.44,0.6411944935249854,0.6645714753970092,0.7046290121774548,0.7226553990687976,0.7342636313901632
0.45,0.6330787829690256,0.65657081762259,0.6960305063485305,0.7133218771921415,0.7257708781090245
0.46,0.625580439567711,0.6491873393416027,0.6880180195409258,0.7045783061276459,0.7178166067379058
0.47000000000000003,0.618701728493685,0.6424228451123296,0.680602459857714,0.6964400235252487,0.7104161035751507
0.48,0.6124399884070172,0.636274144929044,0.6737897757688633,0.688917126665061,0.7035797762314848
0.49,0.606787856230474,0.6307332919777664,0.6675811345268567,0.682014652178367,0.6973132952793583
0.5,0.6017334919247888,0.6257878203920216,0.6619731005823111,0.675732755768622,0.6916177359022904
0.51,0.597260803263931,0.6214209830085965,0.6569578139995961,0.6700668919324497,0.6864897195442108
0.52,0.5933496706103778,0.6176119891232958,0.6525231688724545,0.6650079936806411,0.6819215555588046
0.53,0.5899761716903826,0.6143362422466995,0.6486529917396204,0.660542652259153,0.6779013828588549
0.54,0.5871128063692466,0.6115655778599196,0.6453272200004398,0.656653296870105,0.6744133115655855
