filename,latitude,longitude,recording_date
71854.mp3,59.41,-122.08,2016-05-25
71854.mp3,59.41,-122.08,2016-05-25
72672.mp3,59.45,-122.06,2016-06-21
72775.mp3,59.45,-122.07,2016-06-25
72775.mp3,59.45,-122.07,2016-06-25
73811.mp3,54.86,-111.43,2016-06-14
72963.mp3,54.82,-111.46,2016-06-02
72963.mp3,54.82,-111.46,2016-06-02
73128.mp3,54.83,-111.51,2016-06-05
73128.mp3,54.83,-111.51,2016-06-05
73128.mp3,54.83,-111.51,2016-06-05
73128.mp3,54.83,-111.51,2016-06-05
73191.mp3,54.83,-111.45,2016-06-14
73224.mp3,54.84,-111.52,2016-07-09
73432.mp3,54.84,-111.43,2016-06-14
73490.mp3,54.85,-111.48,2016-06-06
73492.mp3,54.85,-111.47,2016-05-28
73512.mp3,54.85,-111.46,2016-06-22
73518.mp3,54.84,-111.45,2016-06-21
73599.mp3,54.85,-111.47,2016-05-30
73599.mp3,54.85,-111.47,2016-05-30
73713.mp3,54.86,-111.45,2016-05-27
73727.mp3,54.86,-111.44,2016-06-21
73731.mp3,54.86,-111.43,2016-06-12
73736.mp3,54.86,-111.43,2016-06-21
73736.mp3,54.86,-111.43,2016-06-21
163505.mp3,54.86,-111.50,2016-05-05
163505.mp3,54.86,-111.50,2016-05-05
73755.mp3,54.86,-111.49,2016-05-29
99555.mp3,53.71,-117.66,2019-06-06
66784.mp3,54.66,-110.71,2014-06-02
66804.mp3,54.67,-110.78,2014-05-12
66813.mp3,54.68,-110.78,2014-05-19
66813.mp3,54.68,-110.78,2014-05-19
66813.mp3,54.68,-110.78,2014-05-19
66819.mp3,54.68,-110.78,2014-05-19
66840.mp3,54.61,-110.69,2014-06-29
67094.mp3,57.49,-111.36,2015-05-19
67162.mp3,57.52,-111.34,2017-05-31
67171.mp3,57.52,-111.35,2015-05-21
67171.mp3,57.52,-111.35,2015-05-21
67171.mp3,57.52,-111.35,2015-05-21
67192.mp3,57.51,-111.35,2015-05-17
67192.mp3,57.51,-111.35,2015-05-17
67198.mp3,57.51,-111.35,2016-05-02
67335.mp3,55.73,-111.23,2015-05-11
67425.mp3,55.82,-110.58,2014-05-02
67435.mp3,55.82,-110.58,2015-05-22
67461.mp3,55.82,-110.57,2015-05-20
67482.mp3,55.82,-110.58,2014-05-04
67483.mp3,55.82,-110.58,2014-05-05
67565.mp3,55.83,-110.85,2014-05-17
67598.mp3,55.84,-110.84,2014-05-17
67631.mp3,55.84,-110.85,2014-05-17
67631.mp3,55.84,-110.85,2014-05-17
67693.mp3,55.83,-110.85,2014-05-17
67693.mp3,55.83,-110.85,2014-05-17
67693.mp3,55.83,-110.85,2014-05-17
67693.mp3,55.83,-110.85,2014-05-17
67693.mp3,55.83,-110.85,2014-05-17
67693.mp3,55.83,-110.85,2014-05-17
68577.mp3,55.09,-111.76,2015-05-19
68702.mp3,55.08,-111.76,2015-05-18
43811.mp3,55.08,-111.76,2018-07-04
68758.mp3,55.19,-111.43,2014-05-05
68792.mp3,54.97,-112.23,2014-05-30
68797.mp3,54.97,-112.24,2014-05-29
114597.mp3,55.73,-110.35,2017-06-25
114597.mp3,55.73,-110.35,2017-06-25
114607.mp3,55.03,-111.99,2017-05-22
114774.mp3,54.94,-112.09,2017-05-21
114774.mp3,54.94,-112.09,2017-05-21
114774.mp3,54.94,-112.09,2017-05-21
114800.mp3,54.96,-112.13,2017-05-26
103748.mp3,57.30,-111.38,2019-06-25
103748.mp3,57.30,-111.38,2019-06-25
103748.mp3,57.30,-111.38,2019-06-25
4739.mp3,57.41,-111.22,2018-07-01
76849.mp3,54.63,-110.73,2013-06-01
76867.mp3,54.63,-110.73,2015-05-26
76912.mp3,54.63,-110.73,2013-05-30
80767.mp3,57.66,-111.22,2013-06-23
80976.mp3,57.82,-111.13,2013-06-13
81005.mp3,57.81,-111.12,2013-06-01
81245.mp3,54.87,-111.61,2013-06-03
81272.mp3,54.87,-111.61,2013-06-13
92220.mp3,54.87,-111.61,2015-05-28
81289.mp3,54.87,-111.61,2016-06-01
81305.mp3,54.87,-111.60,2013-06-03
81364.mp3,54.87,-111.61,2013-06-10
81379.mp3,54.87,-111.61,2016-05-23
81427.mp3,54.86,-111.60,2015-05-29
81427.mp3,54.86,-111.60,2015-05-29
81427.mp3,54.86,-111.60,2015-05-29
81453.mp3,54.86,-111.60,2017-06-20
155759.mp3,54.86,-111.61,2013-05-31
